Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
2010,41.53,43.67,48.43,55.69,62.29,75.47,81.46,78.53,74.82,62.63,48.17,46.45
2011,40.28,41.02,52.41,58.5,62.53,75.16,80.27,81.76,74.23,62.6,48.72,39.24
2012,44.67,45.05,50.67,60.05,68.65,78.3,79.79,80.03,73.32,63.46,53.56,42.24
2013,37.7,41.43,53.74,58.61,66.85,79.03,80.84,78.23,72.2,58.8,51.03,40.9
2014,45.77,49.26,53.16,58.55,65.93,77.39,81.1,76.21,73.99,64.54,51.56,44.23
2015,44.17,51.44,55.57,57.88,62.41,78.19,78.27,80.25,74.6,64.52,48.14,40.49
2016,41.1,49.42,54.58,57.8,63.95,79.79,81.94,77.14,71.28,65.83,53.24,44.06
2017,46.89,46.54,51.33,62.49,68.02,78.31,81.75,79.97,75.76,59.97,49.29,43
2018,41.51,40.25,51.19,59.74,60.23,74.88,81.67,81.5,74,59.96,52.13,41.67
2019,41.51,40.25,51.19,59.74,60.23,74.87,81.68,81.5,73.97,59.91,-17966.2,41.66
2020,42.76,44.91,50.23,58.4,70.24,76.74,82.39,84.29,75.27,66.1,-9999,-9999
