Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
2011,23.36,23.53,37,42.84,48.51,62.55,69.61,69.24,58.51,47.09,34.76,24.28
2012,29.04,26.83,41.15,48.02,54.92,67.48,70.43,67.58,59.49,46.32,39.29,26.19
2013,22.76,25.39,34.16,39.45,52.57,65.19,68.32,66.68,60.89,44.37,35.22,23.58
2014,26.19,26.81,35.89,42.74,51.49,61.88,68.03,64.29,59.79,49.48,33.05,27.81
2015,28.46,31.62,39.37,44.19,49.22,64.33,66.12,66.48,62.16,51.24,34.57,25.45
2016,25.08,31.55,37.3,42.97,49.88,65.8,68.62,64.18,59.33,51.33,40.28,24.45
2017,29.08,28.12,36.91,43.09,56.51,66.08,69.36,65.71,61.45,44.87,32.02,26.45
2018,24.95,23.69,32.86,44.47,46.94,59.93,68.77,68.01,62.52,40.49,34.36,27.54
2019,24.95,23.69,32.86,44.47,46.94,59.84,68.72,67.97,62.43,40.53,-17966.2,27.4
2020,26.62,25.22,37.77,41.87,54.55,64.45,68.63,69.76,58.14,46.68,-9999,-9999
