Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1976,19.99,25.99,26.9,40.15,50.01,56.19,67.11,62.74,55.45,41.18,30.66,24.29
1977,16.25,27.73,28.24,42.17,49.81,62.89,65.88,61.58,55.18,45.03,30.2,23.53
1978,17.46,19.87,32.2,41.14,46.41,57.04,64.53,61.15,55.26,44.78,25.02,12.9
1979,5.27,19.84,30.73,39.12,47.7,57.51,65.87,63.08,58.38,46.35,24.65,25.99
1980,17.08,23.86,28.14,39.93,49.2,58.84,66.93,61.92,55,43.21,31.93,30.27
1981,28.69,26.07,34.11,43.77,47.75,58.44,65.91,64.44,57.52,41.27,35.13,24.68
1982,16.36,21.09,30.73,35.6,46.35,54.6,64.18,66.31,52.93,40.28,26.96,21.14
1983,26.16,27.02,31.86,34.04,44.33,55.62,64.99,68.16,55.28,44.85,29.7,8.8
1984,18.51,23.36,29.23,35.14,48.11,55.97,65.91,65.59,51.15,37.93,30.55,17.97
1985,15.15,16.12,29.07,42.23,51.89,57.53,66.94,61.78,50.3,41.18,20.1,18.12
1986,25.27,24.26,38.15,40.04,47.23,61.96,62.84,64.12,50.25,42.44,28.56,22.79
1987,20.18,27.08,29.41,44.59,52.57,59.89,64.03,61.09,54.89,43.99,32.51,21.18
1988,16.85,23.32,29.33,41.55,50.81,65.77,67.78,64.84,53.53,47.37,29.45,21.23
1989,21.04,13.09,31.46,41.63,49.08,56.34,68.24,63.2,53.99,43.22,32.19,19.56
1990,23.94,22.24,31.56,41.69,45.86,58.76,64.82,64.26,59.39,41.97,32.84,12.6
1991,16.51,30.19,31.28,37.52,47.68,58.61,65.17,65.65,54.65,42.19,25.87,22.12
1992,21.95,29.87,36.43,43.47,52.47,57.78,60.19,62.01,54.15,45.46,26.08,16.21
1993,15.6,15.72,31.32,38.02,50.06,53.94,58.37,60.31,51.23,41.31,23.97,23.09
1994,23.91,18.95,33.78,40.5,53.06,60.34,64.71,66.31,56.82,41.7,26.04,25.56
1995,21.45,28.28,30.56,36.52,43.77,55.04,63.11,65.89,54.28,40.32,32.69,24.84
1996,17.9,23.62,26.83,39.24,46.37,59.86,65.72,64.57,52.3,42.13,29.13,20.61
1997,18.42,22.49,31.9,33.84,48.55,59.55,63.57,63.44,56.53,42.98,29.05,21.05
1998,22.71,26.55,27.7,38.74,50,51.76,67.71,65.13,60.04,43.32,32.96,21.58
1999,24.69,27.73,34.31,36.17,46.52,56.43,65.92,65.06,51.35,45.13,39.06,25.94
2000,24.29,28.8,33.23,41.78,50.74,57.79,67.83,67.72,54,43.42,20.22,19.03
2001,21.2,19.28,31.89,40.37,50.93,59.27,68.5,67.57,58.17,43.3,34.8,21.41
