Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
2006,38.43,40.02,45.24,56.32,65,72.85,74.52,70.23,61,53.98,46.07,34.42
2007,30.48,38.9,47.66,51.27,59.82,69.42,73.17,73.77,67.1,56.96,46.42,35.31
2008,32.56,39.11,44.78,51.43,59.99,71.86,71.87,71.23,63.91,55.03,45.09,36.87
2009,37.71,41.84,46.99,51.17,63.55,68.59,74.62,72.25,63.88,52.72,45.57,31.42
2010,33.58,34.66,42.56,52.78,59.29,72.53,73.1,72.23,68.53,57.03,42.58,40.49
2011,33.57,34.57,48.92,55.57,59.29,72.96,76.45,75.91,66.38,55.55,43.61,31.14
2012,38.42,38.05,47.37,56.55,63.21,73.96,74.28,73.97,66.3,56.37,47.16,36.39
2013,31.7,36.01,46.18,52.1,61.44,73.97,72.85,72.22,66.55,53.02,42.91,34.55
2014,36.18,41.54,45.66,52.27,59.44,72.09,74.09,70.32,66.44,57.5,42.21,37.69
2015,34.97,41.36,47.15,52.44,57.78,71.22,72.87,73.24,68.95,57.64,43.54,36.04
2016,33.89,41.79,48.26,51.92,58.61,72.4,76.63,69.97,65.82,59.69,47.11,37.27
2017,37,41.22,46.81,54.79,65.42,74.2,74.97,72.86,67.09,54.33,41.19,36.05
2018,34.95,37.53,45.52,53.48,57.64,69.03,75.34,75.32,69.2,52.42,43.24,37.2
2019,34.95,37.53,45.52,53.48,57.64,68.97,75.33,75.28,69.15,52.37,-17966.2,37.11
2020,36.8,37.67,47.69,53.39,64.87,72.42,76.4,76.15,64.97,56.64,-9999,-9999
