Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1966,-1.26,0.06,-1.1,-0.75,-0.88,-0.45,-0.57,-0.65,-0.02,-0.12,-0.78,1.58
1967,0.2,-1.32,-0.89,0.59,0.93,1.84,0.13,-0.71,0.43,-1.06,-0.98,1.06
1968,-1.01,0.43,-0.32,1.21,0.33,0.2,0.34,1.96,-0.47,-0.27,-0.43,0.17
1969,1.41,1.35,-0.33,-0.51,-1.47,1.67,0.22,-0.89,-0.67,1.04,-0.27,-0.46
1970,-0.33,-1.52,0.25,0.84,-0.82,0.95,0.75,-0.53,0.81,0.4,0.73,0.36
1971,-0.7,0.01,-0.88,0.38,0.54,-0.12,-0.91,0.45,0.17,1.46,0.26,1.15
1972,-1.25,-1.71,-1.94,-0.18,-1.1,0.38,-1.03,-0.15,0.65,1.73,0.93,0.73
1973,0.15,-0.23,1.14,0.72,0.12,0.56,0.61,-0.19,0.3,-0.73,0.72,-0.17
1974,0.86,-0.85,-1.33,0.57,-1.59,-1.42,0.16,-0.73,-1.13,0.65,-0.11,-0.49
1975,-0.22,-0.19,1.15,1.17,1.22,1.06,0.6,-0.2,-0.51,0.16,0.25,-0.74
1976,-1.16,0.65,-0.08,0.3,-0.38,0.03,-0.42,-0.02,0.01,-0.24,-1.43,-1.83
1977,-0.75,-1.29,-0.28,-1.51,1.2,-1.23,0.89,0.47,-0.44,-0.68,-0.73,-0.46
1978,1.29,0.82,0.89,0.98,0.29,-0.62,-0.94,-0.19,0.68,-1.21,1.76,0.71
1979,0.94,0.36,0.77,-0.57,0.31,-0.34,-0.56,0.28,-1.86,-0.4,0.46,-0.87
1980,1.86,1.68,0.99,-0.43,1.55,-0.25,-0.4,-0.18,0.71,0.25,-0.47,-1.49
1981,-1.19,-1.11,0.89,-0.7,1.14,-0.84,-0.28,-0.31,0.05,1.63,-0.64,-0.18
1982,0.65,-0.5,0.85,-0.19,0.22,0.24,0.99,0.29,2.08,0.7,0.9,0.96
1983,0.08,0.21,1.35,1.02,1.02,0.79,0.79,1.22,0.25,0.08,1.71,1.53
1984,-0.98,-0.36,0.2,1.02,-1.27,1.36,1.47,0.94,-0.09,1.31,0.01,0.61
1985,-0.39,-0.55,0.78,-0.42,-0.24,-0.28,1.12,-1.34,1.16,0.49,1.64,-0.05
1986,-1.26,0.5,-0.58,1.21,0.08,-0.95,1.04,0.04,1.5,0.45,-0.25,-1.15
1987,-0.01,0.17,0.51,-1.55,0.67,-0.68,1.58,1.07,-0.96,0.08,1.2,0.11
1988,0.41,-1.26,-0.29,0.57,0.07,-0.77,-1.41,-0.06,-0.02,-1.74,0.44,0.02
1989,-0.46,0.11,-0.69,-1.83,-0.51,0.02,-0.84,0.51,-0.38,-0.33,-0.94,-1.61
1990,-0.35,0.2,-0.44,-0.45,-0.14,-0.07,-0.24,-0.46,-0.31,-0.1,0,-0.19
1991,-0.37,-1.4,0.66,0.36,0.58,0.59,-0.42,0.17,0.63,0.08,0.89,-0.59
1992,-0.61,0.18,-0.15,-1.93,0.12,-0.04,0.96,-0.46,-0.47,-0.1,0.53,0.79
1993,1.82,1.51,0.12,-0.32,0.24,0.85,0.55,0.55,-0.5,0.97,0.11,-0.86
1994,-1.17,0.76,-1.07,0.65,-0.88,-1.5,-1.52,-0.58,-0.25,1.15,1.48,-0.21
1995,0.9,-1.19,1.04,0.83,1.94,1.54,0.4,-0.7,-0.59,-0.97,-1.42,-0.49
1996,0.54,0.51,-0.02,-0.43,-0.16,-1.01,-0.73,-1.57,0.59,0.44,1.18,0.6
1997,1.59,-0.15,-1.53,1.18,-0.35,0.48,0.57,0.85,1.61,0.13,-0.08,-0.53
1998,0.17,1.53,0.46,0.64,0.17,1.61,0.3,-0.85,0.37,1.04,0.01,-0.76
1999,-0.17,-0.46,-1.65,1.93,0.59,0.68,0.74,0.84,-0.01,-1.55,-1.9,-0.88
2000,0.43,0.85,-0.03,-1.51,-0.91,-0.76,-1.39,-0.31,-0.05,1.17,0.42,-0.75
2001,-0.08,0.03,-0.34,0.35,-1.27,-0.79,-0.17,-0.48,-1.64,-1.22,0.65,0.3
2002,-1.08,-1.35,-0.28,-0.96,-1.04,-1.55,-1.6,-1.39,1.12,0.58,0.09,-0.6
2003,-1.58,0.61,-0.23,-0.27,-0.4,-0.49,-2.28,-0.46,-0.59,-1.72,0.83,1.02
2004,-0.85,1.14,-1.97,0.42,-0.82,-0.26,-0.14,-0.05,0.29,1.65,1.04,0.2
2005,1.71,0.63,0.35,0.66,0.35,1.29,-1.56,0.32,0,0.23,-0.87,-0.22
2006,0.4,-0.99,1.43,-0.29,-1.49,-1.16,-0.67,-0.07,0.9,1.46,-0.71,-0.22
2007,-0.64,-0.23,-1.11,-0.59,-0.89,-0.84,-1.12,-0.64,0.47,-0.08,-1.72,1.67
2008,0.84,0.75,-0.78,-0.42,0.37,-0.02,-1.19,-1.09,-0.38,-0.42,-0.36,1
2009,0.2,-0.29,-0.78,0.68,-0.46,1.33,-0.92,-0.91,-1,0.2,-1.09,0.91
2010,0.48,0.08,0.21,0.59,0.78,0.01,-0.43,0.5,-1.37,0.94,0.88,2.18
2011,-1.27,0.37,-0.1,1.17,1.68,0.09,0.78,-0.73,-0.42,0.35,0.12,-0.85
2012,0.01,0.07,-1.07,-1,-1.53,-1.66,0.31,-0.97,-0.29,-0.4,-0.86,1.02
2013,0.37,-0.74,-1.06,0.27,-0.34,-1.69,0.04,-0.21,1.5,0.34,0.13,0.15
2014,-0.85,-0.52,-0.59,-0.3,-0.16,-0.73,-0.43,1.62,1.17,-1.52,-0.43,0.52
2015,-0.21,-1.61,-1.26,-0.19,1.7,-0.55,1.02,0,-0.75,0.04,0.45,0.6
2016,0.53,-0.54,-0.54,0.57,0.53,-1.69,-0.84,-0.36,0.96,-0.77,-0.63,1.12
2017,-0.4,-0.43,0,-0.89,-0.45,-1.63,-1.09,-0.85,-1.97,1.45,-0.04,0.03
2018,0.7,1.65,1.5,0.12,1.85,0.04,-1.04,-1.54,-0.52,-0.08,1.16,0.65
2019,0.7,1.65,1.5,0.12,1.85,0.11,-0.91,-1.46,-0.44,-0.06,-0.88,0.56
2020,-0.49,-0.58,-0.02,-0.77,-1.54,0.15,-1.02,-2.85,-1.28,-1.38,-9999,-9999
