Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
2000,0.4,0.52,-0.05,-0.51,-0.79,-1.58,-2.42,-3.08,-2.62,-2.7,-2.09,-1.95
2001,-2.19,-1.85,-2.16,-1.96,-2.9,-3.42,-3.41,-3.8,-3.91,-3.73,-3.47,-3.47
2002,-3.46,-3.6,-3.07,-3.09,-3.45,-4.45,-4.93,-4.54,-4.06,-3.25,-3.01,-3.13
2003,-3.04,-2.4,-0.78,-1.18,-1.55,-0.87,-1.69,-2,-1.69,-2.43,-2.02,-1.6
2004,-1.87,-1.33,-2.2,-2.48,-2.98,-3.04,-2.6,-2.05,-1.36,-0.63,-0.27,-0.54
2005,-0.31,-0.64,-0.78,-0.57,0.66,1,0.54,0.64,0.06,0.33,0.12,0.08
2006,-0.2,-0.4,-0.36,-1.21,-2.23,-3.63,-4.58,-4.44,-3.66,-2.98,-2.81,-2.42
2007,-2.3,-2.09,-1.94,-2.08,-2.26,-2.9,-3.16,-2.92,-2.9,-1.97,-2.31,-1.41
2008,-1.2,-1.02,-0.86,-1.1,1.03,0.95,0.61,0.18,0.48,0.52,-0.04,0.06
2009,0.52,0.01,0.52,1.52,0.53,1.95,2.38,2.61,1.63,2.77,2.04,1.91
2010,1.33,0.9,0.34,0.92,2.47,3.19,3.31,3.23,1.96,1.29,1.51,2.05
2011,1.98,2.15,2.16,2.89,4.8,4.73,4.84,4.13,2.91,2.96,3.03,2.79
2012,2.53,2.74,1.1,-1,-2.27,-4.01,-4.63,-5.33,-5.67,-5.15,-5.03,-4.56
2013,-4.45,-4.16,-4.25,-3.28,-3.12,-3.82,-3.85,-3.92,-1.98,1.11,1.06,1.72
2014,1.86,2.64,3.23,2.87,2.24,2.2,2.22,3.5,3.91,2.86,2.91,3.17
2015,2.53,2.39,1.1,0.78,3.06,3.02,3.43,3.21,2.04,1.28,1.24,1.21
2016,0.96,0.64,1.3,1.92,2.48,1.3,0.47,0.07,0.83,1.08,0.6,1.4
2017,1.3,1.75,1.86,1.39,1.92,1.9,2.07,1.94,0.74,0.96,1.33,1.23
2018,1.2,1.41,1.94,2.15,4.08,4.23,4.82,4.82,5.2,5.27,5.45,5.07
2019,4.76,4.68,4.86,4.76,6.24,6.17,6.68,6.57,6.73,6.66,6.61,6.1
2020,5.61,5.65,5.08,4.74,3.6,3.11,2.2,0.73,0.1,-0.05,-9999,-9999
